Initial number,Requirement,Context (Keywords),Name of Doc,Sec / Not Sec,Labeled by,Comments,
4976,*agentMom with shall support the use of the architecture that agent directly controls the conversations.,Architecture,2003 - agentmom.pdf,0,Вячеслав,to discuss,
4969,*Broadcast message shall be sent to all possible hosts under the same local network.,Broadcast Communication,2003 - agentmom.pdf,0,Вячеслав,,
5303,• ASR (Aquifer storage recovery).,Functional Requirements,water use.pdf,0,Василий,,
5302,"• Augmented surface water (reservoirs, harvesting of high flows (floodwaters).",Functional Requirements,water use.pdf,0,Василий,,
5749,• Compute the astrometric combined data using all previous transits: • Compute parallax and proper motion errors; • Determine de covariance matrix; • Determine estimated errors for the astrometric parameters at the mean epoch.,Combined Parameters module,gaia.pdf,0,Василий,,
5305,"• Conservation (defined as a beneficial reduction of water use resulting in: o modification of water use practices, o reduction of unaccounted-for losses, or o installation and maintenance of low volume water use systems, processes, fixtures, or devices.",Functional Requirements,water use.pdf,0,Василий,,
5304,• Desalination.,Functional Requirements,water use.pdf,0,Василий,,
5301,• Reclaimed water (reuse water).,Functional Requirements,water use.pdf,0,Василий,,
5300,• Surface water or stormwater projects.,Functional Requirements,water use.pdf,0,Василий,,
5295,• What MFL zone the lapsed quantities are in.,Functional Requirements,water use.pdf,0,Василий,,
5293,• Where the lapsed quantities are located.,Functional Requirements,water use.pdf,0,Василий,,
5292,• Which permit and well obtained the lapsed quantities.,Functional Requirements,water use.pdf,0,Василий,,
5294,"• Why the quantities are lapsed (i.e. expired, cancelled, retired).",Functional Requirements,water use.pdf,0,Василий,,
5651,"1. Maintenance and reporting of uncertainty or error in measured data, in spatial components of GIS data, and in modeling output.",Database,stewards.pdf,0,Василий,,
5277,"1) instruction matching When the client serve get a trading instruction, it will send the instruction to the CTS to trade with other trading instructions.",Validation Criteria,central trading system.pdf,0,Василий,,
3721,10. The system shall be verisign like software which shall allow the users to complete secured transaction.,Interfaces,e-store.doc,1,Кирилл,explicitly mentions security features,
5653,"2. Models will require specific input data and will generate output data during the calibration and validation phases, sensitivity analyses, and exploratory scenarios.",Database,stewards.pdf,0,Василий,,
5281,"2) rising and falling limit If the trading price is higher(lower) than the rising limit (falling limit), the CTS will reject this trading instruction.",Validation Criteria,central trading system.pdf,0,Василий,,
5282,3) return the result The CTS will return the result to the client serve for any trading instructions than go into the CTS.,Validation Criteria,central trading system.pdf,0,Василий,,
5284,"4) outdated instruction If a instruction haven’t finished it’s trading in one day, then it will be removed form the CTS for out of date.",Validation Criteria,central trading system.pdf,0,Василий,,
2788,A „blastworthy‟ flag already exists on the item entry and update screens.,E-Blast Flagging,inventory-2.0.pdf,0,Кирилл,,
3290,"A (default) external tool (e.g., ClamAV) will be used to scan files before conversion (pre-conversion step).",Migration Application,warc III.pdf,1,Кирилл,explicitly mentions security features,
2348,A 99.9 % reliability rate shall be maintained for both the SOA to NPAC SMS and NPAC SMS to Local SMS interfaces.,NPAC SMS Interfaces,npac.doc,0,Кирилл,to discuss,
5505,A backup structure is also a requirement to save all the data in case of server of disk problems.,Logical Database,vub.pdf,1,Василий,explicitly mentions security features,
5011,A Birthday Lists & Child Age Report shall list the children alphabetically by last name and include their birthday and age.,Reports,2005 - nenios.html,0,Вячеслав,,
229,A bulk entry can be used to add many assets.,Functional requirements,inventory.pdf,0,Кирилл,,
3531,"A campaign has the following components: Name, Pieces of content, Schedule, User/Group Perrmissions.",Functional Requirements,mashboot.pdf,0,Кирилл,,
3571,A campaign should have workflow approval process.,Use Cases,mashboot.pdf,0,Кирилл,,
2794,"A cart with a laptop, camera and bar code reader will be used by the Construction Junction staff when looking for items in the sales floor that should be e-Blasted. That allows the user to quickly locate an item in the inventory by scanning its tag, flag items that aren‟t yet flagged and enter additional item information prior to the e-Blast.",E-Blast Flagging,inventory-2.0.pdf,0,Кирилл,,
3410,"A CD/DVD drive is necessary for the application to boot, or at least one USB port if you plan to use the USB version of GParted Live.",External Interface Requirements,gparted.pdf,0,Кирилл,,
3299,"A centralised database will be used to store previously processed records, against which new ones will be compared.",Migration Application,warc III.pdf,0,Кирилл,,
4999,A child's record shall contain the date of their last physical examination.,Immunizations,2005 - nenios.html,0,Вячеслав,,
4997,A child's record shall contain the dates that their required immunizations were received.,Immunizations,2005 - nenios.html,0,Вячеслав,,
5974,A comprehensive database of maintenance tasks and help files should be compiled to make the courseware system easier to maintain from an IT staff point-of-view.,Design Constraints,puget sound.pdf,0,Василий,,
1047,A configuration file shall be provided to specify specific speed values.,WWW Map Requirements,ctc-network.pdf,0,Кирилл,,
3284,"A configuration must be provided explicitly, errors should be generated in the absence of a configuration.",Migration Application,warc III.pdf,0,Кирилл,,
1176,A confirmation of the set point update is required.,Set points commands,elsfork.pdf,0,Кирилл,,
5939,A course administrator must be able to grade an assignment.,Specific Requirements,puget sound.pdf,0,Василий,,
5009,A Customer Directory Report shall list the customers alphabetically by last name and include their address and phone number.,Reports,2005 - nenios.html,0,Вячеслав,,
5010,A Daily Classroom & Center Enrollment Report shall alphabetically list the names of children by classroom and indicate if they are present or absent.,Reports,2005 - nenios.html,0,Вячеслав,,
1071,A DATEX/ASN runtime library shall be available on any computer communicating to the C2C project.,Computer Resource Requirements,ctc-network.pdf,0,Кирилл,,
5144,A Debit Note obviates the need for the Seller to create a Credit Note.,Documents,2004 - e-procurement.rtf,0,Вячеслав,,
2923,A Department cannot be deleted if it contains categories and/or items.,User Interface,inventory-2.0.pdf,0,Кирилл,to discuss,
5405,"A determination of whether AFL's are meeting the established MFL is made at each one of the established minimums (Bartow, Ft. Meade and Zolfo Springs).",Functional Requirements,water use.pdf,0,Василий,,
3457,A DH user shall be able to read the humidity at a humidistat position.,Humidistat Requirements,home 1.3.pdf,0,Кирилл,,
3445,A DH user shall be able to read the temperature at a thermostat position.,Thermostat Requirements,home 1.3.pdf,0,Кирилл,,
3458,"A DH user shall be able to set the humidity level for a humidistat, from 30% to 60%, inclusive a 1% increments.",Humidistat Requirements,home 1.3.pdf,0,Кирилл,,
3446,"A DH user shall be able to set the thermostat temperatures to between 60 °F and 80 °F, inclusive, at one degree increments.",Thermostat Requirements,home 1.3.pdf,0,Кирилл,,
6090,A diagnostic algorithm shall not process if any input data to the algorithm is missing.,Functionality,2003 - pnnl.pdf,0,Руфина,,
3466,"A DigitalHome system shall be able to activate both light and sound alarms: one sound alarm and one light alarm subsystem, with multiple lights.",Security System Requirements,home 1.3.pdf,0,Кирилл,,
3465,A DigitalHome system shall be able to manage up to fifty door and window contact sensors.,Security System Requirements,home 1.3.pdf,0,Кирилл,,
3463,"A DigitalHome system shall use wireless signals to communicate, through the master control unit, with the humidistats.",Humidistat Requirements,home 1.3.pdf,0,Кирилл,,
3527,A disable account can be undisabled.,Functional Requirements,mashboot.pdf,1,Кирилл,explicitly mentions security features,
2772,"A donor in possession of a valid acquisition number can proceed to the receiving dock where the items to be donated will be received and processed, and a donation receipt will be generated.",Receive Acquisition,inventory-2.0.pdf,0,Кирилл,,
4475,A double-click of the mouse over the data point should cause the application to display all the data point's details.,Functional Requirements,2005 - grid 3D,0,Айдар,,
804,A failed FCP or NE shall (3.3.5.27) be masked within three minor frames of fault detection and isolation.,"Fault Detection, Identification, and Recovery",nasa x38.doc,0,Кирилл,,
5013,A Family Registration Information Report shall list the customer names alphabetically and include their address and home telephone number.,Reports,2005 - nenios.html,0,Вячеслав,,
4887,A few authorized individuals may be allowed access to parts of the system that are usually considered restricted.,User characteristics,2002 - evla corr.pdf,1,Вячеслав,,
5951,"A freely available blog engine should provide all modern blog functionality, such as tagging, drafting, and comments.",Specific Requirements,puget sound.pdf,0,Василий,,
5949,"A freely available wiki should provide a simple markup language that actors can use to style their input, as well as link to other pages in the wiki.",Specific Requirements,puget sound.pdf,0,Василий,,
3701,A general knowledge of basic computer skills is required to use the product,Design Constraints,e-store.doc,0,Кирилл,,
914,A general single user session occurs when one person in front of the terminal interacts with the system.,Functional specs,beyond.pdf,0,Кирилл,,
4931,A Graphical User Interface shall be provided as an interface to the CMCS test software that allows for a convenient and configurable tool to access the CMCS remotely through the VCI.,Performance Requirements,2002 - evla corr.pdf,0,Вячеслав,,
4694,"A GUI capable of browsing the information managed by the Framework, similar to that of the Windows Explorer SHOULD be available to the user, The GUI MUST also be capable of allowing the user to specify relationships between disparate Entities as he see fit. ",Interfaces,2005 - znix,0,Айдар,,
1182,"A handshake procedure is required for all commands that start or stop a mechanical compo- nent, influence the status or operation mode of the wind turbine or change the software.",Binary control commands,elsfork.pdf,0,Кирилл,to discuss,
6041,A limited number of administrative users should be created to manage the paint data updates.,Nonfunctional Requirements,2004 - colorcast.pdf,1,Руфина,explicitly mentions security features,
3572,A member should be able to ”unpublish” a campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3568,A member should be able to add additional services to an existing campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3581,A member should be able to create a new campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3573,A member should be able to delete a campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3576,A member should be able to delete existing content from supported services.,Use Cases,mashboot.pdf,0,Кирилл,,
3569,A member should be able to delete individual campaign elements.,Use Cases,mashboot.pdf,0,Кирилл,,
3550,A member should be able to log out.,Use Cases,mashboot.pdf,1,Кирилл,explicitly mentions security features,
3552,A member should be able to modify their profile.,Use Cases,mashboot.pdf,0,Кирилл,,
3558,A member should be able to monitor facebook groups related to campaigns.,Use Cases,mashboot.pdf,0,Кирилл,,
3557,A member should be able to monitor trending topics regarding their campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3579,A member should be able to post to a blog in a campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3580,A member should be able to post to Twitter in a campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3578,A member should be able to push to Facebook in a campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3575,A member should be able to schedule ”live dates” for individual events.,Use Cases,mashboot.pdf,0,Кирилл,,
3574,A member should be able to schedule events in bulk.,Use Cases,mashboot.pdf,0,Кирилл,,
3560,A member should be able to see responses to blog posts related to the campaign.,Use Cases,mashboot.pdf,0,Кирилл,,
3577,A member should be able to see the content they have published in all supported services.,Use Cases,mashboot.pdf,0,Кирилл,,
3567,A member should be able to store authentication for supported services.,Use Cases,mashboot.pdf,1,Кирилл,explicitly mentions security features,
3559,A member should be able to view @replies to tweets related to their campaigns.,Use Cases,mashboot.pdf,0,Кирилл,,
3582,A member should get notified when activity occurs in a campaign they’re working on.,Use Cases,mashboot.pdf,0,Кирилл,,
3551,A member should have a profile.,Use Cases,mashboot.pdf,0,Кирилл,,
3732,A minimal set of identifying information/metadata concerning rejected submissions should provide a mechanism to eliminate the need to review some resubmissions.,Ingest,nlm.doc,0,Кирилл,,
3731,A minimal set of identifying information/metadata concerning rejection decisions must be recorded.,Ingest,nlm.doc,0,Кирилл,,
1353,A navigation window shall be available. Navigation windows are discussed in section 3.2.3.3.4.,Behavioral requirements,hats.pdf,0,Кирилл,,
1362,A new file shall be created in the currently open application with the newly entered file name.,Behavioral requirements,hats.pdf,0,Кирилл,,
4991,A new password shall be assigned if a user forgets.,Security,2005 - nenios.html,1,Вячеслав,,
5106,A new R_386_JUMP_SLOT relocation should be created.,Porting Open Watcom C Compiler and Linker to Linux,2004 - watcom.pdf,0,Вячеслав,,
5001,A notification for required immunizations shall be printed on the monthly invoice.,Immunizations,2005 - nenios.html,0,Вячеслав,,
604,A packet size is assumed to be 60 bytes.,FTPP System Requirements,nasa x38.doc,0,Кирилл,,
5012,A Parent/Child Cross Reference Report shall list the parents alphabetically by last name and include their children's first names.,Reports,2005 - nenios.html,0,Вячеслав,,
4988,A password shall be assigned to each user.,Security,2005 - nenios.html,1,Вячеслав,,
3533,"A piece of content may take the following forms: Text, Image. Audio, Video.",Functional Requirements,mashboot.pdf,0,Кирилл,,
4771,A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used.,Functional Requirements,2002 - evla back.pdf,0,Вячеслав,,
5456,"A process needs to be established so corrections to the source data sets can be initiated, i.e. when errors are discovered when running models.",Usability,water use.pdf,0,Василий,,
6479,A QChS shall be able to complete an automated quality check within ten seconds of when data is available for checking.,Quality Checking Services (QChS),2005 - clarus low.pdf,0,Руфина,,
6443,A QChS shall evaluate data quality conditions.,Quality Checking Services (QChS),2005 - clarus low.pdf,0,Руфина,,
2779,A Receiving Associate is required to review all the acquisition information before those actions can take place.,Receive Acquisition,inventory-2.0.pdf,0,Кирилл,,
3958,A response request is received from Coordinate Access Activities.,Access,nlm.doc,0,Кирилл,,
3532,"A schedule is a mapping of times to publishing actions. It may contain any actions a publisher can perform, and these actions are performed at the associated time.",Functional Requirements,mashboot.pdf,0,Кирилл,,
1417,A script file shall contain a linear sequence of HATS-SML programs.,Behavioral requirements,hats.pdf,0,Кирилл,,
4594,"A selection/filter capability shall be provided to restrict operations on active, inactive, or all structures during any data archiving activity.",Functional Requirements,2005 - pontis,0,Айдар,,
5140,"A Self Billed Invoice is sent by Accounts Payable (Buyer) to Accounts Receivable (Seller), obviating the need for an Invoice as described above.
",Documents,2004 - e-procurement.rtf,0,Вячеслав,,
2619,A sequence number equal to zero shall be required for association request and association response messages.,Security,npac.doc,1,Кирилл,,
1428,A set of nodes shall be selected by holding the shift key while selecting nodes using the methods specified previously in this section.,Behavioral requirements,hats.pdf,0,Кирилл,,
4474,A single click of the mouse over a data point should bring up the name of the data point.,Functional Requirements,2005 - grid 3D,0,Айдар,,
3460,"A single humidistat shall be placed in an enclosed space (e.g., a room in the house) for which the humidity is to be controlled.",Humidistat Requirements,home 1.3.pdf,0,Кирилл,,
1426,A single node shall be selected by moving the keyboard cursor to the node (using the tab key) and pressing the enter key.,Behavioral requirements,hats.pdf,0,Кирилл,,
1425,A single node shall be selected by right-clicking the mouse cursor on the node.,Behavioral requirements,hats.pdf,0,Кирилл,,
3449,"A single thermostat shall be placed in an enclosed space (e.g., a room in the house) for which the air temperature is to be controlled.",Thermostat Requirements,home 1.3.pdf,0,Кирилл,,
1470,A small box will be displayed showing the part of the SDT currently displayed in the main tree display window.,Behavioral requirements,hats.pdf,0,Кирилл,,
1562,"A suggested deadline or cost is given to the user, as a precondition for the job to be accepted.",Functionality. Accept/Reject Job,libra.doc,0,Кирилл,,
1278,A summary of the menus available is given below in Table 5.,User Interface,hats.pdf,0,Кирилл,,
891,"A switch between modalities must not affect the system operations, consequently there should be no need to re-initiate the dialog status.",Functional specs,beyond.pdf,0,Кирилл,,
4870,A system administrator shall have unrestricted access to all aspects of the system.,Security,2002 - evla back.pdf,1,Вячеслав,,
3452,"A thermostat unit shall communicate, through wireless signals, with the master control unit.",Thermostat Requirements,home 1.3.pdf,0,Кирилл,,
627,A time-out period shall (3.2.2.3.3) be started when 3 NEs have joined in.,Initial Synchronization (ISYNC),nasa x38.doc,0,Кирилл,,
2349,A transaction rate of 2 CMIP transactions (sustained) per second shall be supported by each SOA to NPAC SMS interface association.,NPAC SMS Interfaces,npac.doc,0,Кирилл,to discuss,
2351,A transaction rate of 25 TN downloads per second shall be supported by each NPAC SMS to Local SMS interface.,NPAC SMS Interfaces,npac.doc,0,Кирилл,to discuss,
808,A transmit packet queue and a receive packet queue shall (3.3.6.7) be maintained for each task or Communication ID (CID).,Communications,nasa x38.doc,0,Кирилл,,
1208,"A triggering is initiated at any event that results in an automatic stop of the wind turbine, any event that causes an emer- gency stop, or any manual stop command (local or remote request).",Analogue values,elsfork.pdf,0,Кирилл,,
1186,"A triggering is typi- cally initiated at any event that results in an automatic stop of the wind turbine, any event that causes an emergency stop or any other alarm-causing event.",Alarms,elsfork.pdf,0,Кирилл,,
1206,A typical sampling rate could be 25 Hz.,Analogue values,elsfork.pdf,0,Кирилл,,
2436,"A user identification is a unique, auditable representation of the user's identity within the system. The NPAC SMS requires all system users, both individuals and remote machines, to be uniquely identified to support individual accountability over the NPAC Administrative and NPAC SOA Low-tech Interfaces.",Security,npac.doc,1,Кирилл,,
3511,A user may possess more than one role.,Functional Requirements,mashboot.pdf,1,Кирилл,explicitly mentions security features,
3476,"A user shall be able to override planned parameter values, through the DH website, or if available, through manual switches on household devices",DH Planning and Reporting Requirements,home 1.3.pdf,0,Кирилл,,
3549,A user should be able to log in.,Use Cases,mashboot.pdf,1,Кирилл,explicitly mentions security features,
3548,A user should be able to register a new account .,Use Cases,mashboot.pdf,1,Кирилл,explicitly mentions security features,
3553,A user’s email should be verified when registering a new account.,Use Cases,mashboot.pdf,1,Кирилл,explicitly mentions security features,
3543,A valid user is one which has not been disabled or deleted and exists on the system.,Security Requirements,mashboot.pdf,1,Кирилл,,
1093,A verbal dialogue system (e.g. telephone) is essential for contacts between operation and maintenance personnel in the wind power plant and the control centre operator.,Voice System,elsfork.pdf,0,Кирилл,,
813,A version of the Immediate Message Services shall (3.3.6.12) be provided to the ICPs that allows Class 2 writes to NEs and Class 1 reads from NEs.,Communications,nasa x38.doc,0,Кирилл,,
5026,A waiting list shall store the names and phone numbers of up to 100 potential customers waiting for a classroom opening to enroll their child.,Classroom,2005 - nenios.html,0,Вячеслав,,
5481,A web application is preferred.,Supportability,water use.pdf,0,Василий,,
2860,A web browser-based interface must be provided for all the Inventory Management functionality.,User Interface,inventory-2.0.pdf,0,Кирилл,,
995,A widget is a graphical entity representing the interface between a user and the application software.,Functional specs,beyond.pdf,0,Кирилл,,
5392,A. Permittees that have consistent pumpage readings even when some of the data is missing. ,Functional Requirements,water use.pdf,0,Василий,,
5267,"a) buy instruction This instruction should have five parameters: user ID, stock ID, quantity, respected price, timestamp.",Validation Criteria,central trading system.pdf,0,Василий,,
3173,"Ability for multiple staff members and patrons to simultaneously access and update patron and item records, including on staff check-in and check-out terminals, on self check-out stations, through SIP2/NCIP2 and similar protocols and APIs, and in OPAC.",Systems: General,library.pdf,0,Кирилл,,
5348,"Ability for public utilities and internal staff to find existing permits in or near their service area so they can spatially see what water is available, or may become available, when they plan for their future growth and water resources.",Functional Requirements,water use.pdf,0,Василий,,
5165,Ability for the agency admin to accommodate programmer testing of e-mail functionality embedded in software applications.,Basic Functional Requirements,email.pdf,0,Василий,,
5177,Ability for the agency admin to archive at various regularly defined intervals.,Basic Functional Requirements,email.pdf,0,Василий,,
5195,"Ability for the agency admin to archive based on policy (i.e. e-mail address, OU, group, organization, etc.)",Basic Functional Requirements,email.pdf,0,Василий,,
5171,Ability for the agency admin to auto-enforce standard conventions for creating accounts and distribution lists.,Basic Functional Requirements,email.pdf,0,Василий,,
5184,Ability for the agency admin to capture all sent and received e-mails into the organization.,Basic Functional Requirements,email.pdf,0,Василий,,
5228,Ability for the agency admin to catalog responsive e-mail (by case) so that e-mail can be electronically certified as complete to fulfill the production.,Extended Functional Requirements,email.pdf,0,Василий,,
5157,"Ability for the agency admin to create and manage public folders or similar storage mechanism to aid with the collection, organization, and sharing of information with other people in their individual agency or organization.",Basic Functional Requirements,email.pdf,0,Василий,,
5161,Ability for the agency admin to create and share distribution lists (including the ability to create query based distribution lists from LDAP-like directory services).,Basic Functional Requirements,email.pdf,0,Василий,to discuss,
5173,Ability for the agency admin to create generic email accounts/addresses to be accessed by multiple users.,Basic Functional Requirements,email.pdf,0,Василий,,
5219,"Ability for the agency admin to Create, Update and Delete Blackberry accounts.",Basic Functional Requirements,email.pdf,0,Василий,to discuss,
5229,Ability for the agency admin to demonstrate due diligence and maintain markings for privileged and non-responsive search results.,Extended Functional Requirements,email.pdf,0,Василий,,
5227,Ability for the agency admin to digitally certify search results.,Extended Functional Requirements,email.pdf,0,Василий,,
5226,Ability for the agency admin to electronically redact information from archival storage.,Extended Functional Requirements,email.pdf,0,Василий,,
5179,"Ability for the agency admin to filter archive by sender, recipient, date, subject, content, attachments, keyword, etc.",Basic Functional Requirements,email.pdf,0,Василий,,
5191,"Ability for the agency admin to import data from other sources such as PST, NSF files into archiving solution.",Basic Functional Requirements,email.pdf,0,Василий,,
5241,Ability for the agency admin to integrate directory services with other complimentary external systems for a unified client experience.,Extended Functional Requirements,email.pdf,1,Василий,explicitly mentions security features,
5182,"Ability for the agency admin to meet Federal regulations for retention (i.e. Sarbanes Oxley, Gramm-Leach-Bliley Act (GLB), HIPAA, etc.)",Basic Functional Requirements,email.pdf,1,Василий,,
5156,Ability for the agency admin to migrate existing public folders into the statewide e-mail system.,Basic Functional Requirements,email.pdf,0,Василий,,
5190,Ability for the agency admin to move older data to tiered storage (lower cost storage) while maintaining accessibility.,Basic Functional Requirements,email.pdf,0,Василий,,
5188,"Ability for the agency admin to perform a ""full text"" search including the header, body and any attachments to the e-mail.",Basic Functional Requirements,email.pdf,0,Василий,,
5230,Ability for the agency admin to provide a full audit trail of discovery and review.,Extended Functional Requirements,email.pdf,0,Василий,to discuss,
5176,Ability for the agency admin to provide a server based archiving solution.,Basic Functional Requirements,email.pdf,0,Василий,,
5181,Ability for the agency admin to provide individual users the ability to search their portion of the archive repository.,Basic Functional Requirements,email.pdf,0,Василий,,
5180,Ability for the agency admin to provide long term retention separate from active e-mail system.,Basic Functional Requirements,email.pdf,0,Василий,,
5242,Ability for the agency admin to provide RSS Feeds.,Extended Functional Requirements,email.pdf,0,Василий,,
5169,Ability for the agency admin to provision e-mail accounts for their individual agency or organization (including the ability to integrate e-mail account provisioning with LDAP-like directory services).,Basic Functional Requirements,email.pdf,1,Василий,explicitly mentions security features,
5192,Ability for the agency admin to put discovery search results on legal hold to suspend deletion.,Basic Functional Requirements,email.pdf,0,Василий,,
5183,Ability for the agency admin to satisfy legal requests for e-mail discovery and provide printed or digital results.,Basic Functional Requirements,email.pdf,0,Василий,,
5178,"Ability for the agency admin to search archive and forward, print and restore in bulk items from archive.",Basic Functional Requirements,email.pdf,0,Василий,,
5187,"Ability for the agency admin to search the ""body"" of the e-mail including the header and all text contained within the e-mail itself.",Basic Functional Requirements,email.pdf,0,Василий,,
5186,"Ability for the agency admin to search the e-mail ""header"" including Date: From, Subject, To, and CC.",Basic Functional Requirements,email.pdf,0,Василий,,
5194,Ability for the agency admin to search using Boolean fields.,Basic Functional Requirements,email.pdf,0,Василий,,
5185,"Ability for the agency admin to select the e-mail retention period for a specific e-mail (e.g. 1 year, 3 year, or 5 year).",Basic Functional Requirements,email.pdf,0,Василий,,
5189,"Ability for the agency admin to support litigation requests by production of responsive e-mail in to a specified location, for read and redaction purposes.",Basic Functional Requirements,email.pdf,0,Василий,,
5218,Ability for the agency admin to support other mobile device protocols (ActiveSync).,Basic Functional Requirements,email.pdf,0,Василий,,
5235,Ability for the data center admin to add digital signatures to e-mail.,Extended Functional Requirements,email.pdf,0,Василий,,
5208,Ability for the data center admin to block or allow e-mail based on multiple message attributes.,Basic Functional Requirements,email.pdf,1,Василий,,
5172,Ability for the data center admin to control message size limits for e-mail (inbound and outbound).,Basic Functional Requirements,email.pdf,0,Василий,,
5232,Ability for the data center admin to do near-time replication to alternate site.,Extended Functional Requirements,email.pdf,0,Василий,to discuss,
5231,Ability for the data center admin to do real-time replication to alternate site.,Extended Functional Requirements,email.pdf,0,Василий,to discuss,
5233,Ability for the data center admin to fail-over mail system and clients to alternate site.,Extended Functional Requirements,email.pdf,0,Василий,to discuss,
5209,Ability for the data center admin to integrate message hygiene (antispam/antivirus) with LDAP.,Basic Functional Requirements,email.pdf,1,Василий,,
5203,Ability for the data center admin to maintain backup and restore event logs.,Basic Functional Requirements,email.pdf,1,Василий,,
5214,Ability for the data center admin to protect internal e-mail customer identity.,Basic Functional Requirements,email.pdf,1,Василий,,
5213,Ability for the data center admin to protect the reputation of outbound mail gateways.,Basic Functional Requirements,email.pdf,1,Василий,,
5210,Ability for the data center admin to provide message hygiene (antispam/antivirus) statistical reports.,Basic Functional Requirements,email.pdf,1,Василий,,
5206,Ability for the data center admin to provide pre-emptive e-mail content filtering.,Basic Functional Requirements,email.pdf,1,Василий,,
5205,Ability for the data center admin to provide pre-emptive e-mail virus protection (scanning prior to delivery at the mail server).,Basic Functional Requirements,email.pdf,1,Василий,,
5200,Ability for the data center admin to recover a specific e-mail message.,Basic Functional Requirements,email.pdf,1,Василий,,
5199,Ability for the data center admin to recover all messages.,Basic Functional Requirements,email.pdf,1,Василий,,
5198,Ability for the data center admin to recover at the file level.,Basic Functional Requirements,email.pdf,1,Василий,,
5201,Ability for the data center admin to recover by mailbox.,Basic Functional Requirements,email.pdf,1,Василий,,
5202,Ability for the data center admin to recover by time.,Basic Functional Requirements,email.pdf,1,Василий,,
5204,Ability for the data center admin to restore previous backup without service interruption.,Basic Functional Requirements,email.pdf,1,Василий,,
5234,Ability for the data center admin to retrieve quarantined messages.,Extended Functional Requirements,email.pdf,0,Василий,,
5207,Ability for the data center admin to whitelist/blacklist senders by domain or IP address.,Basic Functional Requirements,email.pdf,1,Василий,,
5193,"Ability for the user (Legal, OIG, etc.) to review and mark discovery search results.",Basic Functional Requirements,email.pdf,0,Василий,,
5223,Ability for the user to access an SMTP bridgehead for agency applications.,Basic Functional Requirements,email.pdf,0,Василий,,
5236,Ability for the user to access e-mail archive.,Extended Functional Requirements,email.pdf,0,Василий,,
